,sampleID_original,sampleID,LISMID,Sample_name,Condition,Timepoint,Experiment,MATERIAL
1,ID4.CTRL.T24.A_0700761761,ID4_CTRL_T24_A,700761761,ID4,CTRL,T24,2,CTRL
2,ID4.CTRL.T24.B_0700761771,ID4_CTRL_T24_B,700761771,ID4,CTRL,T24,2,CTRL
3,ID4.CTRL.T24.C_0700761781,ID4_CTRL_T24_C,700761781,ID4,CTRL,T24,2,CTRL
4,ID5.LPS.T24.A_0700761791,ID5_LPS_T24_A,700761791,ID5,LPS,T24,2,LPS
5,ID5.LPS.T24.B_0700761801,ID5_LPS_T24_B,700761801,ID5,LPS,T24,2,LPS
6,ID5.LPS.T24.C_0700761811,ID5_LPS_T24_C,700761811,ID5,LPS,T24,2,LPS
7,ID6.ConA.T24.A_0700761821,ID6_ConA_T24_A,700761821,ID6,ConA,T24,2,ConA
8,ID6.ConA.T24.B_0700761831,ID6_ConA_T24_B,700761831,ID6,ConA,T24,2,ConA
9,ID6.ConA.T24.C_0700761841,ID6_ConA_T24_C,700761841,ID6,ConA,T24,2,ConA
10,ID7.MX1.T24.A_0700761851,ID7_MX1_T24_A,700761851,ID7,MX1,T24,2,Ta4C3
11,ID7.MX1.T24.B_0700761861,ID7_MX1_T24_B,700761861,ID7,MX1,T24,2,Ta4C3
12,ID7.MX1.T24.C_0700761871,ID7_MX1_T24_C,700761871,ID7,MX1,T24,2,Ta4C3
13,ID9.MX3.T24.A_0700761911,ID9_MX3_T24_A,700761911,ID9,MX3,T24,2,Mo2Ti2C3
14,ID9.MX3.T24.B_0700761921,ID9_MX3_T24_B,700761921,ID9,MX3,T24,2,Mo2Ti2C3
15,ID9.MX3.T24.C_0700761931,ID9_MX3_T24_C,700761931,ID9,MX3,T24,2,Mo2Ti2C3
16,ID11.MX5.T24.A_0700761971,ID11_MX5_T24_A,700761971,ID11,MX5,T24,2,Nb4C3
17,ID11.MX5.T24.B_0700761981,ID11_MX5_T24_B,700761981,ID11,MX5,T24,2,Nb4C3
18,ID11.MX5.T24.C_0700761991,ID11_MX5_T24_C,700761991,ID11,MX5,T24,2,Nb4C3
